DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,PHO
COLOR,#8DE6B5
FIELD_SHAPES,1
FIELD_LABELS,f1
DATA
24,0
192,0
232,0
239,0
266,0
267,0
285,0
287,0
292,0
293,0
294,1
300,0
301,0
303,0
306,1
316,0
317,0
329,0
354,0
358,0
470,0
471,0
472,0
479,0
511,0
512,0
545,0
546,0
549,0
562,0
573,0
585,0
599,0
615,0
616,0
663,0
670,0
671,0
678,0
687,0
876,0
959,0
1076,0
1085,0
1266,0
1270,0
1271,0
1273,0
1282,0
1288,0
1306,0
1336,0
1390,0
1391,0
1393,0
1396,0
1397,0
1399,0
1402,0
1404,0
1405,0
1408,0
1409,0
1421,0
1422,0
1423,0
1428,0
1451,0
1452,0
1467,0
1479,0
1482,0
1488,0
1491,0
1506,0
1591,0
1667,0
1673,0
1701,0
1720,0
1785,0
1814,0
1816,0
1824,0
1828,0
1829,0
1830,0
1831,0
1833,0
1852,0
1877,0
1881,0
1887,0
1892,1
1893,1
1895,0
1911,0
1928,0
1931,0
1934,0
1941,0
1952,0
1989,0
2015,0
2017,0
2020,0
2021,0
2026,0
2030,0
2065,0
2072,0
4846,0
4847,0
4929,0
4959,0
5041,0
5046,0
5057,0
5059,0
5060,0
5061,0
5062,0
5065,0
5068,0
5074,0
5076,0
5077,0
5078,0
5079,0
5081,0
5082,0
5087,0
5107,0
5127,0
5180,0
5308,0
5322,0
5325,0
5331,0
5341,0
5365,0
5418,0
5481,0
5507,0
5516,0
5518,0
5530,0
5537,0
5541,0
5544,0
5547,0
5580,0
5599,0
5617,0
5639,0
5643,0
12917,0
13563,0
27334,0
27337,0
28031,0
28066,0
28095,0
28214,0
28454,0
28565,0
28572,0
28573,0
28574,0
28576,0
29382,0
29387,0
29443,0
29446,0
29494,0
29523,0
29617,0
29856,0
29875,0
29911,0
29916,0
29917,0
31958,0
31998,0
32002,0
33050,0
33178,0
33203,0
33907,0
33910,0
33919,0
33920,0
33921,0
33934,0
33938,0
33941,0
34003,0
34028,1
34030,0
34038,0
34073,0
34381,0
34413,0
34473,0
35703,0
35841,0
36080,0
36460,0
36630,0
36655,0
36656,0
36773,0
36819,0
37329,0
37482,0
37632,0
37931,0
37998,0
38033,0
38806,0
38945,0
40199,0
40214,0
40215,0
40324,1
40380,0
40382,0
40383,0
40412,0
40444,0
40450,0
40452,0
40469,0
40483,0
40559,0
40571,0
40658,0
41061,0
41276,0
41413,0
41959,0
41984,0
42677,0
42895,0
43263,1
43354,0
43355,0
43674,0
43675,0
43767,1
44252,0
44672,0
44751,0
45277,0
45462,0
46173,0
46472,0
46634,0
47278,0
47763,0
47877,0
47878,0
47881,0
47886,0
47920,0
48100,0
48296,0
48865,0
49224,0
50381,0
50422,0
50741,0
51101,0
51513,0
51671,0
53356,0
53408,0
53522,0
54061,0
54914,0
54915,0
55169,0
56811,0
58117,0
58172,0
58343,0
59298,0
59754,0
60169,0
60174,0
60443,0
60552,0
60912,0
61235,0
61284,0
61645,0
61652,0
63131,0
63820,0
63821,0
64104,0
64495,0
64518,0
64522,0
64636,0
64647,0
64659,0
65048,0
66738,0
66867,0
66948,0
67313,0
67342,0
67358,1
67581,0
67826,0
68192,0
68247,1
68258,1
68284,0
69392,0
69393,0
69488,0
69763,0
69773,0
69780,0
69781,0
69784,0
69808,0
70093,0
70808,0
71668,0
71712,0
71897,0
71905,0
71999,0
72361,0
74722,0
75292,0
75612,0
75659,0
75750,0
76020,0
76021,0
76022,0
76731,0
76759,0
76760,0
76761,0
77098,0
77133,0
78556,0
79858,0
80383,0
80866,0
80867,0
83518,0
84139,0
84604,0
84724,0
84753,0
85698,0
85828,0
86188,0
86664,0
86668,0
86839,0
87252,0
89051,0
89141,0
89466,0
91492,0
91752,0
92950,0
93594,0
94624,0
94625,0
94626,0
95161,0
101000,0
103731,0
103733,0
103734,0
103836,0
104087,0
104355,0
105351,0
106590,0
107400,0
108901,0
108980,0
109634,0
110562,0
112483,0
114155,0
114497,0
117187,0
117606,0
119078,0
119927,0
119933,0
121616,0
121627,0
122427,0
128442,0
129864,0
134375,0
137658,0
137662,0
137743,0
139132,0
139413,0
139427,0
143450,0
144050,0
144786,0
154046,0
155003,0
156293,0
158836,0
162425,0
163011,0
163361,1
166626,0
169177,0
169328,0
169388,0
171194,0
174302,0
175245,0
180171,0
180282,0
181124,0
183478,0
188908,0
189382,0
192066,0
195175,0
195178,0
196015,0
196064,0
197461,0
198730,0
199592,0
201082,0
202952,0
208199,0
208445,0
215132,0
215580,0
216778,0
216816,0
218284,0
221103,0
225844,0
226011,0
226117,0
228946,0
230812,0
236100,0
241728,0
241845,0
254161,0
264951,0
266749,0
267683,0
273677,0
279058,0
279113,0
280754,0
285983,0
292806,0
293386,0
293387,0
295352,0
299767,0
302555,0
307483,0
310350,0
318714,0
319062,0
319629,0
319939,0
320778,0
324767,0
324768,0
330922,0
332410,0
335286,0
335849,0
339359,0
342668,0
361270,0
361480,0
365349,0
370439,0
370769,0
376427,0
380021,0
380665,0
